# BloomSearch eval Surface 3 — qrels for 100-query subset
# Source: BEIR SciFact qrels/test.tsv, filtered to sampled query-ids
# Columns: query-id<TAB>corpus-id<TAB>score
query-id	corpus-id	score
13	1606628	1
49	5953485	1
50	12580014	1
51	45638119	1
54	49556906	1
94	1215116	1
124	4883040	1
127	21598000	1
132	7975937	1
133	38485364	1
133	6969753	1
133	17934082	1
133	16280642	1
133	12640810	1
137	26016929	1
142	10582939	1
143	10582939	1
185	18340282	1
198	2177022	1
208	13519661	1
213	13625993	1
217	21366394	1
219	21366394	1
230	3067015	1
239	14079881	1
295	20310709	1
298	39381118	1
312	6173523	1
324	2014909	1
354	8774475	1
380	19005293	1
399	791050	1
436	14637235	1
437	18399038	1
440	4423559	1
478	14767844	1
491	56893404	1
501	17930286	1
502	13071728	1
513	13230773	1
517	15663829	1
525	13639330	1
527	3863543	1
539	13282296	1
544	24221369	1
549	9433958	1
551	33499189	1
613	9638032	1
619	20888849	1
619	2565138	1
628	24512064	1
637	25649714	1
649	12789595	1
693	24088502	1
716	18421962	1
718	17587795	1
721	1834762	1
728	7521113	1
728	36444198	1
768	6421792	1
808	36606083	1
823	15319019	1
831	1897324	1
852	13843341	1
859	1982286	1
880	8426046	1
882	14803797	1
887	18855191	1
922	17077004	1
956	12956194	1
960	8780599	1
967	2119889	1
967	8997410	1
971	46695481	1
971	27873158	1
971	28617573	1
971	9764256	1
1014	6277638	1
1029	13923140	1
1029	13940200	1
1029	11899391	1
1062	20381484	1
1086	39281140	1
1088	37549932	1
1089	17628888	1
1099	7662206	1
1100	7662206	1
1104	3898784	1
1107	20532591	1
1121	4456756	1
1130	17997584	1
1140	12009265	1
1197	25649714	1
1199	16760369	1
1202	3475317	1
1204	31141365	1
1216	24142891	1
1225	9650982	1
1241	4427392	1
1262	44172171	1
1266	37480103	1
1270	13900610	1
1273	11041152	1
1274	12428814	1
1274	27731651	1
1274	4406819	1
1281	4387784	1
1282	23649163	1
1290	4687948	1
1320	16284655	1
1335	27910499	1
1362	8290953	1
1370	2425364	1
1385	306006	1
